Id,Predicted
1,8914
2,3409
3,6492
4,5364
5,8297
6,4273
7,9618
8,9853
9,476
10,7482
11,8739
12,1624
13,2954
14,4897
15,5565
16,7566
17,9911
18,3450
19,7806
20,8058
21,1966
22,8931
23,7647
24,8704
25,8250
26,2577
27,8599
28,8739
29,3729
30,4063
31,2877
32,3743
33,3152
34,5125
35,7487
36,2839
37,2170
38,1561
39,9218
40,899
41,1350
42,3833
43,5815
44,2989
45,6156
46,7717
47,9592
48,1360
49,6459
50,8329
51,5393
52,1420
53,3085
54,711
55,4769
56,2172
57,6455
58,3489
59,13
60,8872
61,5230
62,6024
63,7362
64,8094
65,7482
66,2299
67,4986
68,3324
69,1509
70,2136
71,6803
72,8312
73,6898
74,6607
75,7845
76,5533
77,7396
78,4621
79,1495
80,8760
81,4925
82,5948
83,9060
84,8976
85,8824
86,1885
87,8930
88,5227
89,4699
90,3738
91,9956
92,743
93,7036
94,7866
95,1416
96,1769
97,9353
98,2780
99,3220
100,6958
101,3764
102,8266
103,2197
104,6732
105,4708
106,7565
107,450
108,5396
109,7505
110,4995
111,503
112,7552
113,5588
114,2546
115,2202
116,6787
117,8491
118,8429
119,9602
120,8821
121,8170
122,6997
123,8704
124,4684
125,2750
126,7514
127,1380
128,3912
129,5804
130,3025
131,6941
132,5923
133,7262
134,7866
135,4690
136,8530
137,9176
138,3968
139,8670
140,8654
141,4027
142,5181
143,5242
144,256
145,5778
146,2136
147,8539
148,9287
149,2868
150,5904
151,5801
152,1810
153,8599
154,7633
155,4386
156,3450
157,4654
158,3066
159,1513
160,1416
161,5524
162,9911
163,7487
164,4535
165,7651
166,9073
167,6652
168,1928
169,9186
170,8931
171,3025
172,2490
173,7537
174,9565
175,4267
176,2546
177,1887
178,4831
179,7736
180,6135
181,8976
182,6455
183,1906
184,4911
185,8897
186,6882
187,4621
188,4229
189,3764
190,6163
191,5804
192,2205
193,6558
194,5238
195,2876
196,8062
197,2021
198,7448
199,4267
200,4462
201,1207
202,8839
203,5612
204,4172
205,3768
206,1336
207,5524
208,7552
209,3936
210,1613
211,5713
212,7952
213,8019
214,2473
215,7909
216,319
217,5752
218,4649
219,5125
220,2351
221,8995
222,177
223,9911
224,7487
225,5246
226,8727
227,2491
228,5993
229,5664
230,7487
231,9095
232,9759
233,1742
234,4347
235,1754
236,2665
237,7463
238,8464
239,4562
240,9911
241,1578
242,2688
243,4025
244,7672
245,115
246,5260
247,6024
248,8595
249,7743
250,2016
251,7171
252,5465
253,2419
254,2341
255,2591
256,7554
257,5712
258,7952
259,934
260,5238
261,9550
262,6763
263,6599
264,2511
265,7797
266,7944
267,6060
268,5986
269,2566
270,8673
271,6183
272,3727
273,3366
274,4267
275,6022
276,1523
277,5248
278,3389
279,6703
280,8872
281,8089
282,1402
283,4675
284,8101
285,8772
286,4562
287,9248
288,8591
289,3234
290,933
291,1184
292,2783
293,2686
294,6058
295,6459
296,7775
297,6354
298,2071
299,5130
300,1256
301,5121
302,9413
303,2068
304,2876
305,3649
306,9073
307,6424
308,6301
309,1706
310,1628
311,6006
312,9038
313,8677
314,6097
315,1291
316,214
317,4446
318,5588
319,7741
320,4025
321,4977
322,985
323,5728
324,5807
325,2295
326,503
327,9528
328,9048
329,6558
330,4427
331,7036
332,4411
333,7254
334,7894
335,7796
336,7315
337,7036
338,2780
339,9682
340,1973
341,2986
342,2313
343,7959
344,3875
345,7651
346,1628
347,1539
348,1312
349,7775
350,6207
351,6841
352,5965
353,476
354,2351
355,1758
356,1760
357,9447
358,6354
359,7134
360,2788
361,3377
362,8265
363,1901
364,6681
365,5517
366,2434
367,2000
368,9312
369,6156
370,4267
371,5588
372,5240
373,5258
374,9038
375,8176
376,3695
377,6272
378,4854
379,3933
380,4741
381,4267
382,3558
383,2936
384,4850
385,2781
386,5364
387,8916
388,5888
389,2678
390,1541
391,5804
392,4974
393,5402
394,9778
395,9048
396,9758
397,4290
398,1125
399,1523
400,8041
401,4116
402,2873
403,2585
404,7703
405,3152
406,4106
407,9889
408,7837
409,161
410,1669
411,8539
412,1516
413,7886
414,7658
415,2203
416,7907
417,9786
418,7650
419,2593
420,1531
421,5884
422,6111
423,2862
424,7254
425,2919
426,7523
427,4716
428,5807
429,9565
430,4418
431,9073
432,5926
433,7517
434,8280
435,3951
436,6596
437,5747
438,6902
439,7083
440,8666
441,7633
442,5523
443,4667
444,1148
445,4182
446,2306
447,6372
448,6142
449,2018
450,3082
451,3439
452,5046
453,8311
454,3397
455,470
456,7866
457,3940
458,3695
459,2295
460,2264
461,2505
462,2101
463,3187
464,4427
465,6634
466,2378
467,4974
468,4562
469,1524
470,4062
471,9493
472,1064
473,8865
474,6964
475,7995
476,1171
477,6163
478,3533
479,2670
480,8265
481,2188
482,4292
483,4741
484,3890
485,1856
486,4127
487,8996
488,933
489,4911
490,7394
491,6898
492,4539
493,1380
494,3634
495,8266
496,9645
497,1450
498,5684
499,7896
500,9979
501,7717
502,7831
503,6562
504,7225
505,1742
506,9577
507,5316
508,9902
509,5350
510,1204
511,1626
512,7996
513,1422
514,1386
515,6882
516,4656
517,139
518,8834
519,9645
520,5130
521,7736
522,4318
523,3398
524,8049
525,9012
